"","geneNames","geneIDs","transcriptNames","feature","id","fc","pval","qval","logfc"
"25058",".","MSTRG.14673","MSTRG.14673.8","transcript","25058",0.470049675539228,0.00045899384534509,0.00513191328982807,-1.08911486391188
"25060",".","MSTRG.14673","MSTRG.14673.10","transcript","25060",0.493165976799972,0.00399631586656513,0.0237275441472378,-1.01985482230616
"25061",".","MSTRG.14678","MSTRG.14678.1","transcript","25061",0.396057102394596,8.89885730582796e-05,0.00169944303620281,-1.33621964588938
"25063",".","MSTRG.14675","MSTRG.14675.8","transcript","25063",0.479470473408983,1.82676789464153e-05,0.000622748836956139,-1.06048612047405
"25491",".","MSTRG.14859","MSTRG.14859.9","transcript","25491",0.420103271348975,0.0158588788504295,0.0657395016058587,-1.25118407473642
"25674",".","MSTRG.15023","MSTRG.15023.16","transcript","25674",2.21660175785504,0.00956555670823855,0.0453859869047283,1.14834959403175
"25682",".","MSTRG.15023","MSTRG.15023.19","transcript","25682",2.33364699430033,9.6994498542724e-05,0.00180504108443064,1.22258634421185
"26150",".","MSTRG.15177","MSTRG.15177.6","transcript","26150",2.44692757827264,0.032486088308187,0.111320241080149,1.29097140259708
"26155","HIST2H4A","MSTRG.15180","ENST00000618193","transcript","26155",2.36645615751318,0.0235331680643813,0.0878883584183123,1.24272819402885
"26169","HIST2H2AA3","MSTRG.15177","ENST00000369159","transcript","26169",2.23773982612689,2.42907957499483e-05,0.000752259602633239,1.1620423091579
"26176","HIST2H2AA4","MSTRG.15186","ENST00000607355","transcript","26176",2.30061505325018,7.04015026187221e-06,0.000332436978051099,1.20201960710533
"26189","HIST2H2BE","MSTRG.15177","ENST00000369155","transcript","26189",2.8579460591782,2.73327954418701e-05,0.000811579890263791,1.5149786872908
"26393","ECM1","MSTRG.15243","ENST00000369047","transcript","26393",2.2389499462283,8.40282867498043e-05,0.00163948880960597,1.16282227578525
"26574","CERS2","MSTRG.15328","ENST00000560793","transcript","26574",2.22039966546525,0.000483973359260093,0.00532562057765249,1.15081938084965
"26578",".","MSTRG.15328","MSTRG.15328.3","transcript","26578",2.00684229952343,0.0283016966253311,0.100576357760848,1.00492725215921
"26598",".","MSTRG.15327","MSTRG.15327.2","transcript","26598",2.29865995120191,1.474130357626e-05,0.000545677782805379,1.20079305892257
"26605","FAM63A","MSTRG.15327","ENST00000312210","transcript","26605",2.00913620253109,0.0285992336253189,0.101354308579549,1.00657536997242
"26606",".","MSTRG.15327","MSTRG.15327.8","transcript","26606",2.08379759375859,0.0144043131484528,0.0612613557118069,1.05921515061918
"26608",".","MSTRG.15327","MSTRG.15327.11","transcript","26608",3.92864324867662,1.46852412580278e-05,0.00054426064241163,1.97403116582842
"26610","FAM63A","MSTRG.15327","ENST00000361738","transcript","26610",2.42864959803296,2.7402524758191e-06,0.000182146524310237,1.28015435508432
"26629",".","MSTRG.15333","MSTRG.15333.16","transcript","26629",4.88832429312825,2.86187507880786e-06,0.000184747120664846,2.28933999722062
